#TYPE Microsoft.PowerShell.Commands.HistoryInfo
"Id","CommandLine","ExecutionStatus","StartExecutionTime","EndExecutionTime"
"11","$storageaccountname = $vm.StorageProfile.OsDisk.Vhd.Uri.Split('.')[0].Replace('https://','')","Completed","2/7/2017 10:44:52 PM","2/7/2017 10:44:52 PM"
"12","$vm = Get-AzureRmVM -ResourceGroupName $ResourceGroupName -Name $VMName","Completed","2/7/2017 10:45:11 PM","2/7/2017 10:45:11 PM"
"13","$vm","Completed","2/7/2017 10:45:14 PM","2/7/2017 10:45:14 PM"
"14","$storageaccountname = $vm.StorageProfile.OsDisk.Vhd.Uri.Split('.')[0].Replace('https://','')","Completed","2/7/2017 10:45:29 PM","2/7/2017 10:45:29 PM"
"15","$storageaccountname","Completed","2/7/2017 10:45:36 PM","2/7/2017 10:45:36 PM"
"16","$vm.StorageProfile.OsDisk.Vhd.Uri.Split('.')[0]","Completed","2/7/2017 10:46:08 PM","2/7/2017 10:46:08 PM"
"17","$storageaccountname = ""6l67jfqlimvr6storage""","Completed","2/7/2017 10:47:00 PM","2/7/2017 10:47:00 PM"
"18","$key = (Get-AzureRmStorageAccountKey -Name $storageaccountname -ResourceGroupName $ResourceGroupName).Key1","Completed","2/7/2017 10:47:14 PM","2/7/2017 10:47:15 PM"
"19","$key","Completed","2/7/2017 10:47:18 PM","2/7/2017 10:47:18 PM"
"20","ASDFADF","Completed","2/7/2017 10:48:42 PM","2/7/2017 10:48:42 PM"
"21","$DNSName = ""sh99demo.uksouth.cloudapp.azure.com""","Completed","2/7/2017 10:49:35 PM","2/7/2017 10:49:35 PM"
"22","$thumbprint = (New-SelfSignedCertificate -DnsName $DNSName -CertStoreLocation Cert:\LocalMachine\My).Thumbprint","Completed","2/7/2017 10:49:50 PM","2/7/2017 10:49:51 PM"
"23","$thumbprint","Completed","2/7/2017 10:49:53 PM","2/7/2017 10:49:53 PM"
"24","$cmd = ""winrm create winrm/config/Listener?Address=*+Transport=HTTPS @{Hostname=""""$DNSName""""; CertificateThumbprint=""""$thumbprint""""}""
","Completed","2/7/2017 10:50:09 PM","2/7/2017 10:50:09 PM"
"25","cmd.exe /C $cmd","Completed","2/7/2017 10:50:19 PM","2/7/2017 10:50:20 PM"
"26","$vm = Get-AzureRmVM -ResourceGroupName $ResourceGroupName -Name $VMName","Completed","2/7/2017 10:50:43 PM","2/7/2017 10:50:43 PM"
"27","$storageaccountname = $vm.StorageProfile.OsDisk.Vhd.Uri.Split('.')[0].Replace('https://','')","Completed","2/7/2017 10:50:53 PM","2/7/2017 10:50:53 PM"
"28","$storageaccountname","Completed","2/7/2017 10:50:58 PM","2/7/2017 10:50:58 PM"
"29","Get-History","Completed","2/7/2017 10:51:12 PM","2/7/2017 10:51:12 PM"
"30","https://blogs.technet.microsoft.com/uktechnet/2016/02/12/powershell-function-to-enable-winrm-over-https-on-an-azure-resource-manager-vm/","Completed","2/7/2017 10:52:19 PM","2/7/2017 10:52:19 PM"
"31","google: azure arm install winrm certificate","Completed","2/7/2017 10:52:48 PM","2/7/2017 10:52:48 PM"
"32","https://github.com/Azure/azure-quickstart-templates/tree/master/201-vm-winrm-windows","Completed","2/7/2017 10:53:49 PM","2/7/2017 10:53:49 PM"
"33","Get-History | Export-Clixml","Completed","2/7/2017 10:53:58 PM","2/7/2017 10:54:14 PM"
"34","Get-History | Export-Clixml -Path C:\temp2\psremoting.csv","Completed","2/7/2017 10:54:57 PM","2/7/2017 10:54:57 PM"
